Data_out,DBO_out,Data_in,DBO_in,DQO_in,pH_in,SS_in,Vaz_in
09/20/1998,0.414035,09/15/1998,0.533824,0.530798,0.505137,0.34715,0.575977
03/24/1999,0.477193,03/19/1999,0.582353,0.568061,0.600171,0.304663,0.56558
04/17/1999,0.526316,12/4/1999,0.508824,0.570342,0.51387,0.282902,0.58692
04/29/1999,0.424561,04/24/1999,0.519118,0.574905,0.512329,0.240415,0.597413
05/15/1999,0.438596,10/5/1999,0.585294,0.610646,0.548801,0.464249,0.566216
05/16/1999,0.445614,11/5/1999,0.504412,0.558175,0.543664,0.668394,0.558107
05/29/1999,0.357895,05/24/1999,0.413235,0.477567,0.632534,0.325389,0.47762
12/6/1999,0.498246,7/6/1999,0.492647,0.615209,0.562158,0.270466,0.59215
06/13/1999,0.477193,8/6/1999,0.441176,0.561217,0.540582,0.337824,0.588783
06/16/1999,0.4,11/6/1999,0.463235,0.514829,0.540582,0.389637,0.59686
06/26/1999,0.417544,06/21/1999,0.423529,0.492015,0.510274,0.258031,0.564089
06/27/1999,0.442105,06/22/1999,0.444118,0.555133,0.517979,0.329534,0.588584
06/30/1999,0.459649,06/25/1999,0.510294,0.552852,0.509247,0.287047,0.582267
10/7/1999,0.452632,5/7/1999,0.527941,0.563498,0.50976,0.256995,0.577641
07/24/1999,0.498246,07/19/1999,0.525,0.602281,0.518493,0.32228,0.57775
07/28/1999,0.445614,07/23/1999,0.542647,0.576426,0.519521,0.31399,0.607964
7/8/1999,0.452632,2/8/1999,0.497059,0.547529,0.519521,0.239378,0.594001
8/8/1999,0.505263,3/8/1999,0.458824,0.535361,0.540582,0.245596,0.595954
11/8/1999,0.414035,6/8/1999,0.517647,0.569582,0.535959,0.34715,0.588307
08/25/1999,0.382456,08/20/1999,0.466176,0.489734,0.526199,0.231088,0.577551
5/9/1999,0.512281,08/31/1999,0.514706,0.568061,0.520034,0.280829,0.586515
09/22/1999,0.410526,09/17/1999,0.508824,0.536882,0.530308,0.348187,0.5823
09/30/1999,0.389474,09/25/1999,0.505882,0.549049,0.521062,0.401036,0.582762
6/10/1999,0.431579,1/10/1999,0.45,0.479848,0.538527,0.240415,0.593249
10/30/1999,0.326316,10/25/1999,0.380882,0.534601,0.521575,0.39171,0.574621
11/13/1999,0.435088,8/11/1999,0.439706,0.507224,0.521575,0.290155,0.59625
11/14/1999,0.452632,9/11/1999,0.380882,0.523954,0.526199,0.280829,0.613361
8/12/1999,0.357895,6/12/1999,0.475,0.55057,0.5375,0.431088,0.532578
12/12/1999,0.350877,7/12/1999,0.507353,0.54981,0.526199,0.325389,0.530117
12/27/1999,0.512281,12/22/1999,0.525,0.673764,0.521062,0.262176,0.569641
8/1/2000,0.396491,3/1/2000,0.517647,0.603042,0.519521,0.364767,0.563447
9/1/2000,0.389474,4/1/2000,0.467647,0.588593,0.536986,0.35544,0.581843
5/2/2000,0.421053,01/31/2000,0.557353,0.641825,0.507705,0.259067,0.573561
6/2/2000,0.470175,1/2/2000,0.569118,0.615209,0.49589,0.274611,0.589014
02/19/2000,0.452632,02/14/2000,0.513235,0.609886,0.493322,0.417617,0.552035
02/20/2000,0.410526,02/15/2000,0.447059,0.6,0.506678,0.333679,0.557124
02/23/2000,0.382456,02/18/2000,0.526471,0.610646,0.52363,0.354404,0.560709
4/3/2000,0.557895,02/28/2000,0.569118,0.680608,0.523116,0.38342,0.552157
5/3/2000,0.557895,02/29/2000,0.383824,0.575665,0.506678,0.281865,0.566968
03/19/2000,0.45614,03/14/2000,0.529412,0.625095,0.50976,0.345078,0.531004
03/29/2000,0.512281,03/27/2000,0.502941,0.64943,0.478938,0.434197,0.542743
03/30/2000,0.536842,03/25/2000,0.554412,0.729278,0.501541,0.344041,0.578643
04/15/2000,0.494737,10/4/2000,0.65,0.678327,0.50976,0.404145,0.545333
04/16/2000,0.498246,11/4/2000,0.525,0.61597,0.557534,0.354404,0.548655
04/30/2000,0.333333,04/25/2000,0.489706,0.463118,0.525171,0.44456,0.345528
05/27/2000,0.350877,05/22/2000,0.302941,0.364259,0.638185,0.434197,0.516135
06/14/2000,0.466667,9/6/2000,0.475,0.568061,0.505651,0.305699,0.572192
06/24/2000,0.540351,06/19/2000,0.494118,0.555894,0.494863,0.31399,0.556443
06/25/2000,0.466667,06/20/2000,0.536765,0.636502,0.498973,0.495337,0.54762
9/7/2000,0.635088,4/7/2000,0.636765,0.595437,0.562671,0.379275,0.532456
07/23/2000,0.610526,07/18/2000,0.679412,0.676046,0.546747,0.396891,0.480762
07/26/2000,0.722807,07/21/2000,0.633824,0.76654,0.540582,0.412435,0.521095
